Submission ID,Gönderim,Yayın,Süre (dk),Kapsam,Durum,Sürüm (eşleme)
15,2026-09-11 08:01,,,Closed testing - Alpha,Published,1.1.0 (627) — ölçüldü · yayın ≤ 08:33 (süre ≤ 32 dk)
14,2026-09-08 08:41,,,Closed testing - Alpha,Published,1.0.9 (581) — ölçüldü · yayın ≤ 09:10 (süre ≤ 29 dk)
13,2026-09-07 13:28,,,Closed testing - Alpha,Published,1.0.8 (569) — ölçüldü · yayın ≤ 13:57 (süre ≤ 29 dk)
12,2026-09-04 15:53,,,Closed testing - Alpha,Published,1.0.6 (525) — ölçüldü · yayın ≤ 16:22 (süre ≤ 29 dk)
11,2026-09-02 17:24,2026-09-02 17:58,34,Closed testing - Alpha,Published,1.0.5 (501)
10,2026-09-01 13:27,,,Closed testing - Alpha,Published,1.0.4 (467) — pencere
9,2026-08-31 11:01,,,Closed testing - Alpha,Published,1.0.3 (449) — pencere
8,2026-08-30 15:29,2026-08-30 15:39,10,Closed testing - Alpha,Published,1.0.2 (435) — ölçüldü
7,2026-08-29 18:53,,,Closed testing - Alpha,Published,1.0.1 — pencere (bump'tan 58 dk sonra)
6,2026-08-29 17:37,,,App Content,Published,paket değil — form gönderimi
5,2026-08-28 00:54,,,Closed testing - Alpha,Published,1.0.0 — pencere
4,2026-08-26 22:33,,,Closed testing - Alpha,Published,"1.0.0 — pencere (eskiden '1.0.0 öncesi' yazıyordu, YANLIŞTI)"
3,2026-08-26 11:52,,,Closed testing - Alpha,Published,1.0.0 — pencere (aynı düzeltme)
2,2026-08-26 08:57,,,Closed testing - Alpha,Published,1.0.0 — pencere (aynı düzeltme)
1,2026-08-25 19:23,,,"Closed testing - Alpha, Store Listing, App Content, Advanced distribution, Store settings",Published,"1.0.0 — pencere · ilk gönderim, mağaza kaydının tamamı"
