Sıra (bizim),Tarih (UTC),Kapsam,Sonuç,Build,Not,Kaynak
13,2026-09-15 06:02,App Store yayını (`Release This Version`),✅ YAYINDA — vitrin DOĞRULANDI,1.1.0 (665),"Kullanıcı ASC sürüm sayfasında `Release This Version`a bastı. Öncesinde yayın kapısı ölçüldü (Business → Agreements ekran görüntüsü): **Free Apps Agreement `Active`** (8 Eyl 2026 – 8 Eyl 2027) · **Paid Apps `New`** (gerekmiyor, uygulama ücretsiz) · **DSA `Active`** — yani onay e-postasındaki ""if your contracts are not yet in effect"" kapısı KAPALI değil. ✅ **VİTRİN AÇILDI — ölçüldü, 15 Eyl ~06:39:** kullanıcı uygulamayı App Store’da GÖRDÜ ve İNDİRDİ. İkinci bağımsız kanıt: Apple’ın Marketing Tools akışı bu uygulama için ilerleyip rozeti/linki üretti — 10 Eyl’de yayında olmayan uygulamada DURUYORDU. ⚠ Ajan bu ölçümü kendi YAPAMADI: `apps.apple.com`, `itunes.apple.com` ve `tools.applemediaservices.com` agent proxy’den 403 dönüyor (yalnız `developer.apple.com` erişilebilir). Ölçüm geldiği için `storeLinks.ts`’teki App Store `url`u dolduruldu ve rozet siteye kondu (ROADMAP §26 Apple yarısı).","kullanıcı bildirdi (""Bastım"") + kapı: kullanıcının Business ekran görüntüsü (ölçüldü)"
12,2026-09-15 ~05:46,App Store incelemesi,✅ ONAYLANDI,1.1.0 (665),"App Store Connect e-postası: *""We’re pleased to let you know that your app, Kelimeki: Türkçe Kelime Oyunu, has been approved for distribution.""* Sürüm durumu **`1.1.0 Pending Developer Release`** (yayın seçeneği Manually). §16’nın ret → cevap → yeniden gönderim zincirinin sonucu: 13 Eyl 18:15’teki `Resubmit`ten ~35 saat sonra. ⚠ Saat kullanıcının ekran görüntüsündeki CİHAZ saatinden (08:46 TSİ) türetildi; e-postanın KENDİ damgası okunmadı, ""~"" bu yüzden.","kullanıcı bildirdi (onay e-postası + ASC sürüm sayfası ekran görüntüleri)"
11,2026-09-13 18:15,App Store incelemesi (YENİDEN gönderim),⏳ Waiting for Review,1.1.0 (665),"Dört adımlı zincir koşuldu: `Reply to App Review` 17:58 → Notes + `Save` 18:04 → `Update Review` 18:13 → `Resubmit to App Review` 18:15. **Kod DEĞİŞMEDİ** — 665 aynı paket, yeni `versionCode` üretilmedi, `mobile-latest` ve TestFlight’e dokunulmadı, ASC ↔ Play sürüm senkronu bozulmadı. Zincirin sırası zorunlu; en kolay kaçırılan yer 4. adım (`Ready for Review` ""gönderildi"" DEĞİL): `marketing/app-store/console-formlari.md` §16.",console-formlari.md §16 (ölçüldü)
10,2026-09-13 04:16,App Store incelemesi,❌ REDDEDİLDİ — Guideline 2.1 (Performance: App Completeness),1.1.0 (665),"⚠ **Bir arıza bildirimi DEĞİL:** gerekçe tek cümle — *""submitted by a developer account that has a limited App Review history""*, yani yeni geliştirici hesabına uygulanan bir TANIMA anketi. Bildirilen çökme/hata/giriş sorunu YOK. Demo hesap `kelimekitest2` sağlamdı: son giriş 12 Eyl 21:43 UTC (üretim veritabanından ölçüldü), yani gönderim ile ret arasındaki pencerede hesaba BAŞARIYLA girilmiş. Kod değişikliği gerekmedi. Submission ID `59db85e6-1159-46c9-a4ec-cbe3b1c2a3a8`.",console-formlari.md §16 (ölçüldü)
9,2026-09-12 17:32,App Store incelemesine gönderim,⏳ Waiting for Review,1.1.0 (665),"`Add for Review` → `Submit to App Review` → *""1 Item Submitted · It can take up to 48 hours""*; sürüm satırı `Prepare for Submission` → **`1.1.0 Waiting for Review`** oldu. İliştirilen build geçmişi 629 → 654 → 656 → 659 → **665**; yayın seçeneği **Manually release**. ⚠ Bu satır 15 Eyl’de GERİYE DÖNÜK yazıldı: 12-13 Eylül turunda yalnızca `console-formlari.md` güncellenmiş, bu CSV 11 Eyl’de (satır 8) kalmıştı — kütük kuralı ikisinin BİRLİKTE güncellenmesini istiyor.",console-formlari.md §16 + durum tablosu (ölçüldü)
8,2026-09-11 21:20,TestFlight (iç test) + sürüm kaydına iliştirme,✅ Yüklendi,1.1.0 (659),"Koşu #659 (7bccbf7); `upload_to_testflight` 21:14:52→21:20:14 (5 dk 22 sn) yeşil, koşunun dört işi de yeşil. Gece ASC sürüm kaydında 656 çıkarılıp **659** seçildi (kullanıcı: ""ASC'yi de 659 yaptım. Sürümler aynı olsun istiyorum"") — iki mağaza yine TEK numarada: App Store 659, Play'e gidecek .aab de 659. ⚠ 659'un kodu 656 ile **BİREBİR AYNI** (git diff c7ac2e9 7bccbf7 = workflow + doküman/CSV; mobile/app/lib altında tek satır yok). Doğuş sebebi 656'nınkiyle aynı sınıf: #529 mobile-build.yml'e dokunduğu için tam derleme koştu ve mobile-latest'teki .aab'yi ezdi — kaçağın KENDİSİNİ kapatan PR, kapanmadan önce bir kez daha tetikledi.",Actions koşu #659 (ölçüldü) · iliştirme: kullanıcı bildirdi
7,2026-09-11 17:12,TestFlight (iç test) + sürüm kaydına iliştirme,✅ Yüklendi,1.1.0 (656),"Koşu #656 (c7ac2e9); `upload_to_testflight` 17:08:09→17:12:22 yeşil. Akşam ASC sürüm kaydında 654 çıkarılıp **656** seçildi. ⚠ 656'nın kodu 654 ile **BİREBİR AYNI** (git diff c22b757 c7ac2e9 = yalnızca dört doküman/CSV dosyası); 656'ya geçmenin gerekçesi davranış değil, iki mağazanın numarasını hizalı tutmak — Play'e de 656 gidiyor.",Actions koşu #656 (ölçüldü) · iliştirme: kullanıcı bildirdi
6,2026-09-11 16:08,App Store incelemesi,❌ GÖNDERİM YAPILMADI — bu satır YANLIŞ yazılmıştı (düzeltildi: 11 Eyl 23:02),1.1.0 (654 → 656),"⚠ **BU SATIR 11 EYLÜL AKŞAMI DÜZELTİLDİ.** Önce ""⏳ GÖNDERİLDİ — inceleme bekleniyor"" yazıyordu; **App Store Connect → History gönderim satırı İÇERMİYOR** (tek kayıt: Prepare for Submission · destek@kelimeki.com · 8 Eyl 15:55) ve sürüm hâlâ Prepare for Submission. DERS: **`Add for Review` gönderim DEĞİLDİR** — yeni arayüzde ikinci adım (Review Submission → `Submit to App Review`) tamamlanmadan sürüm incelemeye girmez. İkinci kanıt: aynı akşam 19:12 ve 20:37 ekran görüntülerinde Description/Keywords/Support URL/Copyright BOŞTU — Apple o hâlde göndertmez. KAYIT KURALI: gönderim ancak History'de bir SATIR olarak görülürse ""gönderildi"" yazılır, buton basıldı diye değil. Gerçekten yapılanlar: sekiz ekran görüntüsü iki cihaz ailesine yüklendi (8/10 · 8/10), iliştirilen build 629 → 654 → 656 oldu.","App Store Connect → History (11 Eyl 23:02, ekran görüntüsü)"
5,2026-09-10 21:31,TestFlight (iç test),✅ Yüklendi,1.1.0 (627),`upload_to_testflight` 21:27:52→21:31:23 yeşil. ⚠ ""Adım yeşil"" ≠ ""TestFlight'ta hazır"" — `skip_waiting_for_build_processing: true`; Apple'ın işlemesi 10-40 dk.,Actions koşu 627 (ölçüldü)
4,2026-09-10 13:32,TestFlight (iç test),✅ Yüklendi,1.0.9 (620),Gruba EN YENİ build eklendi — o an TestFlight'ta 616 ve 618 de duruyordu. Bir sürüm yüklemek GEREKMEDİ.,Actions + App Store Connect (ölçüldü)
