Sürüm,versionCode,Derleme (sha),Sürüm penceresi,Play'e yükleme,Gönderim,Submission ID,Durum,İnceleme (dk),Mobil commit,Ne yapıldı,Kaynak / güven
0.1.0,—,28b93ac,19.08 02:15 → 23.08 19:36,yüklenmedi,—,—,—,,16,"Play'e HİÇ yüklenmedi, ama 16 mobil commit'i 1.0.0 paketiyle sahaya çıktı: ilk açılış tanıtım ekranı (IntroScreen, 5 slayt) · yeni rütbe rozeti + alt küme fontu · isim yanı mühürler · en üst rütbe Tanrı → Kozmik · k-lig sırası tek kaynağa (k_lig_siralama view) · giriş sekmesi varsayılanı · iki dokunmatik jest hatası (jokerin harfi kendiliğinden değişiyordu, titreşimli dokunuş kayboluyordu)",git (ölçüldü)
1.0.0,ölçülmedi,b4accee (sürüm) · 48f01a1 (Sürüm B),23.08 19:36 → 29.08 17:55,5 paket (25-28.08),28.08.2026 00:54,1-5,Published,,28,"EN KALABALIK SÜRÜM — tek paket değil, art arda 5 paket. (1) Mağaza kapısı: imzalama + .aab, mağaza vitrini, hukuki sayfalar, uygulama içinden hesap silme (blokerdi), AD_ID izni kaldırıldı, assetlinks parmak izi. (2) Push + derin bağlantı (Sürüm B): bildirim kanalı IMPORTANCE_HIGH, token yaşam döngüsü. (3) Dokunma isabeti paketleri (Sürüm A/A2): 48 dp hedefler, ayrı bırakma eşiği, 'Buradan başla' balonu, ıskalanan dokunuşun komşu taslağa yönlenmesi. (4) Performans/çökme: tahta her karede yeniden boyanıyordu (RepaintBoundary) + nömorfik dekor raster önbelleği; release APK'da EKSİK INTERNET İZNİ (giriş ve tüm sunucu özellikleri ölüydü); created_by NULL olan oyun Canlı listeyi düşürüyordu. Ayrıca oyun kuralı değişti: kendi bloğundaki desteksiz rakip taşı zinciri kesmiyor. ⚠ In-App Update YOKTU",Sürüm penceresi + commit'ler: git (ölçüldü) · versionCode: ölçülmedi
1.0.1,ölçülmedi,7dd56ad,29.08 17:55 → 30.08 13:43,—,29.08.2026 18:53,7,Published,,3,"Tek amaçlı sürüm: zorunlu güncelleme ekranının butonu çalışır hâle geldi (UpdateRequiredScreen → mağazaya yollama) — 1.0.0'ın çıkışsız ekranının çaresi. Yaş/cinsiyet satırı aynı gün eklenip GERİ ALINDI (revert #369), pakete girmedi",Sürüm penceresi + commit'ler: git (ölçüldü) · versionCode: ölçülmedi
1.0.2,435,d3d4702,30.08 13:43 → 31.08 10:20,30.08.2026 12:07,30.08.2026 15:29,8,Published,10,6,"Play In-App Update (günlük güncelleme yolu) — ⚠ kod bu sürümün İÇİNDE, sahadaki 1.0.0/1.0.1 kitlesi onu ancak buraya geçince görür. Bildirim Fazları 1-3: davet bildirimleri canlıda, bildirime dokununca doğru yere gitme, Analytics'in ilk altı olayı. Düzeltmeler: hayalet 'Devam Eden Oyun', bekleyen oyun sıralaması, header'da avatarın komşusunu boyaması, iPhone'da kaybolan pasif skor kutusu kenarı (outline 0.5 → 1 px). +5 kelime",Console (ölçüldü) · commit'ler: git
1.0.3,449,ölçülmedi,31.08 10:20 → 31.08 23:08,31.08.2026 08:00,31.08.2026 11:01,9,Published,,3,"TELEMETRİDEN ÇIKAN İKİ ÇÖKME — sahada ölçüldü, tahmin değil: derin bağlantı rotası 11 CİHAZDA çökertiyordu, rafta sınır dışı erişim vardı. Ayrıca bildirim rozetinin gerçekten sıfırlanması (#15) ve 'kaç kişi hangi sürümde' ölçümü (#12)",versionCode/tarih: Console (ölçüldü) · sha: ölçülmedi · commit'ler: git
1.0.4,467,ölçülmedi,31.08 23:08 → 01.09 14:43,01.09.2026 10:25,01.09.2026 13:27,10,Published,,2,Küçük telemetri turu: istemci hata hız sınırı ZAMANA bağlandı (#10) · admin panelinde platform filtresi (#11) · kaynak hunisine 'Bitiren Cihaz' kırılımı,versionCode/tarih: Console (ölçüldü) · sha: ölçülmedi · commit'ler: git
1.0.5,501,4a0a29b,01.09 14:43 → 02.09 (derleme),02.09.2026 14:22,02.09.2026 17:24,11,"Published → pasif (4 Eyl, 1.0.6 devraldı)",34,11,"TAHTA ZOOM'U: boş kareye/çerçeveye çift dokunuşla 2× büyütme + parmakla pan + merkez kareyi işaret eden tek seferlik tanıtım balonu (tek dokunuşlar birebir korunur). YAZI BOYUTU — 3. hata sınıfı (SARMA): sabit genişlikli sütunlarda metin ölçekle büyüyünce satır kırıyordu, bitirme modalında 241 skoru 24/1 diye okunuyordu → ScaledCell. Mesaj kutusunun üstüne yönlendirme etiketi. Kalanı APK cihaz turlarından: hamle rozetinin kırpılması/tahta dışına çizilmesi, alt şeridin çevrimdışı hâli, k-lig sütunlarının sarması, devam eden oyun kartının web'den ayrışması, zoom'da kalıcı çerçeve, filigranların bölgeyi taşırması, bölge çizgisinin kenarda incelmesi",Console (ölçüldü) · commit'ler: git
1.0.6,525,711eaaa,03.09 (derleme sonrası) → 04.09 (derleme),04.09.2026 10:36,04.09.2026 15:53,12,"Published → pasif (6 Eyl, 1.0.7 devraldı)",≤ 29,7,YENİLİKLER: oyun geçmişine 'Tekrar Oyna' (biten Canlı oyunun aynı kadrosuyla rövanş daveti) · skor kartına kafa kafaya oran çubuğu (avatarları 18 → 26 px) · biten Canlı oyunlarda 'Yeni' rozeti · listelerde 'süresi bitmeye en yakın üstte'. DÜZELTMELER: iPad'de asılı kalan paylaşım penceresi · devam eden oyun kartlarının iki sekmede ayrışması · kafa kafaya oranında teslimlerin beraberlik sayılması · terk edilen oyunun yanlış güne yazılması,Console (ölçüldü) · commit'ler: git
1.0.7,545,78383eb,04.09 (derleme 711eaaa) → 06.09 (derleme 78383eb),ölçülmedi,06.09.2026 (saat ölçülmedi),ölçülmedi,"Published → pasif (7 Eyl, 1.0.8 devraldı)",,7,"Seviyesiz son paket. Düzeltmeler: taş değiştirmede TASLAK TAŞLARIN YOK OLMASI (motor, iki yeni golden) + senkron rafı yeniden sıralarsa seçimin düşmesi; hesap menüsündeki k-lig puanının oturum boyunca donması; arka plandan dönüşün 'ekrana yeniden giriş' sayılması; kafa kafaya çubuğunun hizası; Hızlı Başlangıç'ın oyun sonu cümlesi. Görünmez: erişilemez INIT action'ının kaldırılması. Kurtarma: PR açılmadığı için main'e hiç girmemiş iki iş.",Sürüm/sha/commit'ler: git + Actions (ölçüldü) · gönderim saati ve Submission ID: Console OKUNMADI
1.0.8,569,f4de936,06.09 (derleme 78383eb) → 07.09 (derleme f4de936),ölçülmedi,07.09.2026 13:28,13,"Published → pasif (8 Eyl, 1.0.9 devraldı)",≤ 29,8,"SEVİYELİ YZ'nin TAMAMI (ROADMAP #23 Faz 2-5): Yapay Zeka oyununda ZORLUK seçici (Kolay · Normal · Zor); Kolay'da YZ en iyi 4 hamleden rastgele birini oynar, Zor'da GENİŞ arama (kanca hücresinden paralel diziş + çok çapalı kelime; Normal'i %70-72 yeniyor); k-lig puanı seviyeye göre; üç renkli rozet üç kartta + devam eden kartında + tahta şeridinde; seçici altı açıklama; games.ai_level yazılır/okunur; rövanş seviyeyi taşır; yardım ekranına zorluk paragrafı. Normal'de hiçbir şey değişmedi (golden'lar bayt-eş).","Console (gönderim, ölçüldü) · commit'ler: git · yayın saati Console'dan OKUNMADI (≤ 13:57 bildirildi)"
