Sürüm,sha,Tarih,Ne yapıldı,Kapsam,Android paketi,iOS paketi
0.1.0,28b93ac,19.08.2026,"Tanıtım ikonları, yeni rütbe rozeti + fontu, isim yanı mühürler ve karşılama metin turu",web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,8a08499,19.08.2026,Kozmetik metin/boşluk turu + hukuki metin ve doküman denetimi,web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,14ec7fb,19.08.2026,Portun ilk açılış tanıtımı: IntroScreen (atlama yok) + Setup'ta Tanıtım linki,yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,0d75b98,19.08.2026,Tanıtım ekranı: dört slayt web'in karşılama katmanıyla hizalandı,web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,958f1d3,19.08.2026,"Tanıtım ekranı: beş slayt, alt düğme kalktı, logo içerikle birlikte ortalanıyor",yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,478ffce,19.08.2026,"En üst rütbe: Tanrı → Kozmik (T → K), web + port",web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,e200c90,19.08.2026,"Port düzeltmeleri: footer telifi ortalandı, tanıtım 1./2. slayt dengelendi, X2/X3 legend'i yan yana",yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,53e423c,19.08.2026,Tanıtım kromu 47 → 29 px: 1. slayt iOS Safari'de de sığıyor,yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,4a1d88a,19.08.2026,Tanıtım: son satır leading'i kaldırıldı + boşluklar kırpıldı (~23px),yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,f0f71e0,21.08.2026,k-lig sırası tek kaynaktan: k_lig_siralama view'ı + OHP eşitlik bozucu,web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,6b35fb7,21.08.2026,"Oyun sonu kartı, kaynak hunisi, hata telemetrisi, admin üyeler tablosu ve hoş geldiniz e-postası",web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,bacbd9d,21.08.2026,"Canlı liste düşen istekte ""oyunun yok"" demesin + oyundan Setup'a dönüş görünür olsun",web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,20149e1,21.08.2026,"Giriş varsayılanı: YZ tarafı boşken ""Arkadaşınla"" açılsın",web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,3773ffb,22.08.2026,test(mobile): kalan dört korumasız web↔port çiftini de kilitle,yalnız port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,0d4ccc1,22.08.2026,Kaynak Hunisi: misafir hunisi (game_finishes/game_starts kaynak etiketi),web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
0.1.0,c62e219,22.08.2026,Dokunmatik jest hataları: joker harfi kendiliğinden değişiyordu + titreşimli dokunuş kayboluyordu,web + port,girmedi (Play'e hiç yüklenmedi; 1.0.0 paketiyle çıktı),1 (#614)
1.0.0,b4accee,23.08.2026,"Google Play yayını: imzalama, .aab, sürüm 1.0.0, mağaza vitrini, hukuki statik sayfalar",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,f13af84,23.08.2026,"Onaylanmamış hesap süpürmesi: hatırlat, sonra sil",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,4513c37,24.08.2026,"Admin kart başlıkları, hata telemetrisi gürültü filtresi ve mağaza öncesi sürüm/rota alanları",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,d59306d,24.08.2026,Cihaz dökümü artık girişli ziyaretleri de kapsıyor (device_visits),web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,fafdcb2,24.08.2026,Release APK'da eksik INTERNET izni: giriş ve tüm sunucu özellikleri ölüydü,yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,6e481b7,24.08.2026,İki teknik borç ve elenen 8px eşiği kayda geçti,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,18689eb,24.08.2026,Bölge kuralı: kendi bloğundaki desteksiz rakip taşı zinciri kesmiyor,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,71eb73a,24.08.2026,"Dokunma hedefleri 48 dp; ""Yükleniyor…"" okunur hâle getirildi (web + port)",web + port,ölçülmedi (5 paket),1 (#614)
